sg nom,sg gen,sg part,sg ill,pl nom,pl gen,pl part,pl ill,pl ine,kommentaar
õmpõjõ,õmpõja,õmpõja,õmpõjasõ,õmpõjõd,õmpõijõ,õmpõijiit,õmpõijiisõ,õmpõijiiz,
õmpõlia,õmpõlija,õmpõlijat,õmpõliasõ,õmpõliad,õmpõlijõd,õmpõlijait,õmpõlijaisõ,õmpõlijaiz,
õnki,õngõ,õnkia,õnkõsõ,õngõd,õnkijõ,õnkiit,õnkiisõ,õnkiiz,
õnni,õnnõ,õnnia,õnni,õnnõd,õnnijõ,õnniit,õnniisõ,õnniiz,
õnnõkõz,õnnõkka,õnnõkõss,õnnõkkasõ,õnnõkkad,õnnõkkajõ,õnnõkkait,õnnõkkaisõ,õnnõkkaiz,
õnnõliin,õnnõlizõ,õnnõliiss,õnnõlizõsõ,õnnõlizõd,õnnõlisijõ,õnnõlisiit,õnnõlisiisõ,õnnõlisiiz,
õnnõtoi,õnnõtoma,õnnõtomat,õnnõttomasõ,õnnõttomad,õnnõttomijõ,õnnõtomiit,õnnõtomiisõ,õnnõtomiiz,
õpõin,õpõizõ,õvõissõ,õpõzõsõ,õpõizõd,õpõizijõ,õpõiziit,õpõiziisõ,õpõiziiz,Laaksol o-alguline
õpõttõja,õpõttõja,õpõttõjat,õpõttõjasõ,õpõttõjad,õpõttõijõ,õpõttõiit,õpõttõiisõ,õpõttõiiz,
õravõ,õrava,õrava,õravasõ,õravõd,õravojõ,õravoit,õravoisõ,õravoiz,
õzrikko,õzriko,õzrikkoa,õzrikkosõ,õzrikod,õzrikkojõ,õzrikkoit,õzrikkoisõ,õzrikkoiz,
õzrõ,õzra,õzra,õzrasõ,õzrõd,õzrojõ,õzroit,õzroisõ,õzroiz,
õttsõ,õtsa,õttsa,õttsasõ,õtsad,õttsijõ,õttsoit,õttsoisõ,õttsoiz,
õvvi,õvvõ,õvvia,õvvõsõ,õvvõd,õvvijõ,õvviit,õvviisõ,õvviiz,
äjje,äjjä,äjjä,äjjäse,äjjed,äjjije,äjjiit,äjjiise,äjjiiz,
ämme,ämmä,ämmä,ämmäse,ämmed,ämmije,ämmiit,ämmiise,ämmiiz,
ängeli,ängeli,ängeliä,ängelise,ängelid,ängelije,ängeliit,ängeliise,ängeliiz,
änte,ännä,äntä,äntäse,änned,äntije,äntiit,äntiise,äntiiz,
ärčä,ärjä,ärčä,ärčäse,ärjed,ärčije,ärčiit,ärčiise,ärčiiz,
ääni,ääne,äänte,äänese,ääned,äänije,ääniit,ääniise,ääniiz,
ääri,ääre,ääriä,ääresõ,ääred,äärije,ääriit,ääriise,ääriiz,
ühellain,ühellaize,ühellaissõ,ühellaissõ,ühellaizõd,ühellaisijõ,ühellaisiit,ühellaisiisõ,ühellaisiiz,
ühs,ühe,ühte,ühtese,ühed,ühsije,ühsiit,ühsiise,ühsiiz,
ülči,ülle,ülčiä,ülčese,ülled,ülčije,ülčiit,ülčiise,ülčiiz,
üvä,üvä,üvvä,üvväse,üväd,üvvije,üvviit,üvviise,üvviiz,
üü,üü,üüt,üühese,üüd,üije,üit,üise,üiz,
